time,temperature_avg,temperature_min,temperature_max,relative_humidity,sunshine_duration,wind_velocity,precipitation,solar_radiation,evaporation
2020-01-01,26.175,23.2,30,91.430,4.2,0.613,120.6,370.24,0
2020-01-02,27.6,23.8,31.7,81.465,6.2,0.639,2.6,278.72,3.5
2020-01-03,26.875,22.8,31.8,83.161,6.5,0.544,0,619.84,3.64
2020-01-04,25.9,23.1,31.1,86.739,2.6,0.646,0,621.92,3.64
2020-01-05,25.725,22.4,29.7,84.160,1,0.663,12.2,624,3.09
2020-01-06,26.7,21.4,31.8,79.210,6.4,0.423,0.2,212.16,1.53
2020-01-07,27,23.3,31.8,79.630,5,0.906,0,555.36,4.56
2020-01-08,26.3,22.6,31.6,83.366,3.7,0.664,0,617.76,5.82
2020-01-09,26.925,23,31.7,78.875,3.3,0.581,1.2,384.8,2.78
2020-01-10,27.275,22.8,33.3,77.126,7,0.895,0,490.88,4.59
2020-01-11,26.75,22.7,32.4,84.160,5,0.655,0,648.96,2.59
2020-01-12,26.5,22.8,30,88.690,0.5,0.592,9.8,638.56,5.29
2020-01-13,26.725,22,31.3,82.157,8,0.563,18.1,112.32,4.64
2020-01-14,26.325,23.2,33.4,83.182,7,0.579,0,603.2,4.05
2020-01-15,26.05,23.2,33.4,85.503,5.5,0.630,3,713.44,0.92
2020-01-16,25.85,23.4,31.2,89.116,2.2,0.720,56.8,659.36,3.31
2020-01-17,25.7,22.6,31.6,86.388,8,0.657,50.4,262.08,0.23
2020-01-18,26.025,22,32.3,90.568,1.3,0.721,121.7,582.4,0
2020-01-19,25.075,22.6,30.6,87.042,3,0.554,0,164.32,2.64
2020-01-20,24.95,21.6,31.2,87.566,3,0.707,87.9,470.08,0
2020-01-21,25.9,21.7,31.6,84.180,6.2,0.695,10,440.96,2.99
2020-01-22,26.45,23,30.4,88.262,2.4,0.817,19.5,544.96,5.14
2020-01-23,25.575,23.2,30.6,88.255,2.3,0.622,24.2,316.16,3.8
2020-01-24,25.55,22.8,32.1,89.261,6,0.580,0,336.96,3.75
2020-01-25,25.775,22.6,32.4,89.032,6.2,0.538,53.7,657.28,0
2020-01-26,25.7,24,29.4,94.638,0.3,1.005,8.2,740.48,6.84
2020-01-27,25.825,23,31.3,89.028,4.7,0.571,43.6,76.96,6.51
2020-01-28,26.85,22.7,32.2,84.206,6.7,0.430,52.4,438.88,0
2020-01-29,26.5,24,32.7,87.339,5.1,0.651,0,609.44,4.85
2020-01-30,26.05,23,31.8,86.198,3.9,0.608,9,436.8,2.95
2020-01-31,26.375,23.2,32.9,85.044,5.5,0.592,1.1,432.64,3.43
2020-02-01,24.675,22,28.4,91.026,1.2,0.549,26.6,31.2,4
2020-02-02,24.475,22.8,27.4,92.014,0,0.564,3.1,149.76,5.03
2020-02-03,24.825,21.5,29.1,93.011,2.6,0.475,4.5,164.32,2.69
2020-02-04,26.375,23.2,29,86.131,2.5,0.524,4.8,214.24,0.71
2020-02-05,25.375,23,30.6,87.791,2.7,0.370,0.2,260,1.2
2020-02-06,24.9,22.2,28.8,92.501,0,0.683,26.6,357.76,2.89
2020-02-07,25.3,23.6,31,93.119,3.8,0.326,32.6,156,2.1
2020-02-08,26,22.8,30.1,86.883,5.5,0.839,116.7,443.04,0
2020-02-09,25.9,22.4,30.7,81.822,3.5,0.586,0.9,780,6.23
2020-02-10,27.075,23.5,33.8,77.312,4.6,0.822,0,690.56,4.75
2020-02-11,27.2,23.2,31.8,78.858,3.2,0.587,0.2,447.2,1.81
2020-02-12,27.075,24.4,33,83.830,3,0.867,0,447.2,3.53
2020-02-13,27.025,24.4,31.4,85.408,4.6,0.548,0.4,572,2.11
2020-02-14,25.1,23.6,30.7,92.364,2.5,0.684,0,330.72,3.74
2020-02-15,25.9,23,32.6,88.161,5.3,0.547,15.4,218.4,3.72
2020-02-16,25.7,22,30.3,89.227,2.7,0.673,40.3,665.6,5.92
2020-02-17,25.225,22.8,30.2,89.079,0.2,0.539,10.2,151.84,6.17
2020-02-18,24.225,22.4,29.8,91.939,2.1,0.384,5.8,199.68,3.23
2020-02-19,24.375,22,29,92.765,1.2,0.687,56.8,201.76,0
2020-02-20,24.35,22.2,27.6,94.809,0,0.612,39.2,145.6,2.46
2020-02-21,26.875,23,30.3,83.310,4.5,0.517,5.2,58.24,0.96
2020-02-22,26.725,23.3,30.6,88.272,4,0.586,7,218.4,4.11
2020-02-23,27,23.8,30.2,86.787,3.6,0.588,0,266.24,3.56
2020-02-24,25.25,22.8,29.3,92.770,0,0.601,52.8,411.84,2.7
2020-02-25,25.75,23.2,28.6,89.191,0,0.615,19.5,176.8,2.78
2020-02-26,25.425,22.8,28.8,89.661,0,0.463,0.3,33.28,1.61
2020-02-27,26.3,23.4,30.1,87.445,0.9,0.452,9.6,68.64,2.63
2020-02-28,24.45,23.4,29.3,95.333,0,0.521,38.7,228.8,2.81
2020-02-29,25.05,23.1,30.3,94.122,0,0.446,8.3,199.68,2.3
2020-03-01,26.175,23.2,30,91.430,4.2,0.613,120.6,370.24,0
2020-03-02,27.6,23.8,31.7,81.465,6.2,0.639,2.6,278.72,3.5
2020-03-03,26.875,22.8,31.8,83.161,6.5,0.544,0,619.84,3.64
2020-03-04,25.9,23.1,31.1,86.739,2.6,0.646,0,621.92,3.64
2020-03-05,25.725,22.4,29.7,84.160,1,0.663,12.2,624,3.09
2020-03-06,26.7,21.4,31.8,79.210,6.4,0.423,0.2,212.16,1.53
2020-03-07,27,23.3,31.8,79.630,5,0.906,0,555.36,4.56
2020-03-08,26.3,22.6,31.6,83.366,3.7,0.664,0,617.76,5.82
2020-03-09,26.925,23,31.7,78.875,3.3,0.581,1.2,384.8,2.78
2020-03-10,27.275,22.8,33.3,77.126,7,0.895,0,490.88,4.59
2020-03-11,26.75,22.7,32.4,84.160,5,0.655,0,648.96,2.59
2020-03-12,26.5,22.8,30,88.690,0.5,0.592,9.8,638.56,5.29
2020-03-13,26.725,22,31.3,82.157,8,0.563,18.1,112.32,4.64
2020-03-14,26.325,23.2,33.4,83.182,7,0.579,0,603.2,4.05
2020-03-15,26.05,23.2,33.4,85.503,5.5,0.630,3,713.44,0.92
2020-03-16,25.85,23.4,31.2,89.116,2.2,0.720,56.8,659.36,3.31
2020-03-17,25.7,22.6,31.6,86.388,8,0.657,50.4,262.08,0.23
2020-03-18,26.025,22,32.3,90.568,1.3,0.721,121.7,582.4,0
2020-03-19,25.075,22.6,30.6,87.042,3,0.554,0,164.32,2.64
2020-03-20,24.95,21.6,31.2,87.566,3,0.707,87.9,470.08,0
2020-03-21,25.9,21.7,31.6,84.180,6.2,0.695,10,440.96,2.99
2020-03-22,26.45,23,30.4,88.262,2.4,0.817,19.5,544.96,5.14
2020-03-23,25.575,23.2,30.6,88.255,2.3,0.622,24.2,316.16,3.8
2020-03-24,25.55,22.8,32.1,89.261,6,0.580,0,336.96,3.75
